Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.636000	0.515776	0.038683	0.068598	0.020599	0.001000	0.001261	768.749192	43.304042
0.638000	0.515749	0.038681	0.068595	0.020624	0.001000	0.001259	767.910963	43.254448
0.640000	0.515723	0.038679	0.068591	0.020648	0.001000	0.001257	767.073239	43.204915
0.642000	0.515696	0.038677	0.068588	0.020672	0.001000	0.001256	766.236020	43.155444
0.644000	0.515669	0.038675	0.068584	0.020696	0.001000	0.001254	765.399306	43.106035
0.646000	0.515642	0.038673	0.068580	0.020720	0.001000	0.001252	764.563097	43.056687
0.648000	0.515615	0.038671	0.068577	0.020744	0.001000	0.001250	763.727394	43.007402
0.650000	0.515587	0.038669	0.068573	0.020768	0.001000	0.001248	762.892195	42.958178
0.652000	0.515560	0.038667	0.068569	0.020791	0.001000	0.001247	762.057501	42.909016
0.654000	0.515533	0.038665	0.068566	0.020815	0.001000	0.001245	761.223312	42.859916
0.656000	0.515505	0.038663	0.068562	0.020839	0.001000	0.001243	760.389628	42.810878
0.658000	0.515478	0.038661	0.068559	0.020863	0.001000	0.001241	759.556449	42.761902
0.660000	0.515450	0.038659	0.068555	0.020887	0.001000	0.001239	758.723775	42.712988
0.662000	0.515422	0.038657	0.068551	0.020910	0.001000	0.001237	757.891606	42.664136
0.664000	0.515394	0.038655	0.068547	0.020934	0.001000	0.001236	757.059941	42.615345
0.666000	0.515366	0.038652	0.068544	0.020957	0.001000	0.001234	756.228782	42.566617
0.668000	0.515338	0.038650	0.068540	0.020981	0.001000	0.001232	755.398127	42.517951
0.670000	0.515310	0.038648	0.068536	0.021004	0.001000	0.001230	754.567976	42.469346
0.672000	0.515282	0.038646	0.068533	0.021028	0.001000	0.001228	753.738331	42.420804
0.674000	0.515254	0.038644	0.068529	0.021051	0.001000	0.001227	752.909190	42.372323
0.676000	0.515226	0.038642	0.068525	0.021075	0.001000	0.001225	752.080554	42.323905
0.678000	0.515197	0.038640	0.068521	0.021098	0.001000	0.001223	751.252422	42.275549
0.680000	0.515169	0.038638	0.068517	0.021121	0.001000	0.001221	750.424795	42.227254
0.682000	0.515140	0.038635	0.068514	0.021145	0.001000	0.001220	749.597673	42.179022
0.684000	0.515111	0.038633	0.068510	0.021168	0.001000	0.001218	748.771055	42.130852
0.686000	0.515083	0.038631	0.068506	0.021191	0.001000	0.001216	747.944941	42.082743
0.688000	0.515054	0.038629	0.068502	0.021214	0.001000	0.001214	747.119333	42.034697
0.690000	0.515025	0.038627	0.068498	0.021237	0.001000	0.001212	746.294228	41.986712
0.692000	0.514996	0.038625	0.068494	0.021260	0.001000	0.001211	745.469628	41.938790
0.694000	0.514967	0.038622	0.068491	0.021283	0.001000	0.001209	744.645532	41.890930
0.696000	0.514937	0.038620	0.068487	0.021306	0.001000	0.001207	743.821941	41.843131
0.698000	0.514908	0.038618	0.068483	0.021329	0.001000	0.001205	742.998854	41.795395
0.700000	0.514879	0.038616	0.068479	0.021352	0.001000	0.001204	742.176272	41.747720
0.702000	0.514849	0.038614	0.068475	0.021375	0.001000	0.001202	741.354193	41.700108
0.704000	0.514820	0.038611	0.068471	0.021397	0.001000	0.001200	740.532619	41.652557
0.706000	0.514790	0.038609	0.068467	0.021420	0.001000	0.001198	739.711549	41.605069
0.708000	0.514760	0.038607	0.068463	0.021443	0.001000	0.001197	738.890984	41.557642
0.710000	0.514731	0.038605	0.068459	0.021466	0.001000	0.001195	738.070922	41.510277
0.712000	0.514701	0.038603	0.068455	0.021488	0.001000	0.001193	737.251365	41.462974
0.714000	0.514671	0.038600	0.068451	0.021511	0.001000	0.001191	736.432311	41.415733
0.716000	0.514641	0.038598	0.068447	0.021533	0.001000	0.001190	735.613762	41.368554
0.718000	0.514611	0.038596	0.068443	0.021556	0.001000	0.001188	734.795717	41.321437
0.720000	0.514580	0.038594	0.068439	0.021578	0.001000	0.001186	733.978176	41.274381
0.722000	0.514550	0.038591	0.068435	0.021601	0.001000	0.001184	733.161139	41.227388
0.724000	0.514520	0.038589	0.068431	0.021623	0.001000	0.001183	732.344606	41.180456
0.726000	0.514489	0.038587	0.068427	0.021645	0.001000	0.001181	731.528576	41.133586
0.728000	0.514459	0.038584	0.068423	0.021668	0.001000	0.001179	730.713051	41.086778
0.730000	0.514428	0.038582	0.068419	0.021690	0.001000	0.001177	729.898029	41.040031
0.732000	0.514397	0.038580	0.068415	0.021712	0.001000	0.001176	729.083512	40.993346
0.734000	0.514366	0.038577	0.068411	0.021734	0.001000	0.001174	728.269498	40.946723
0.736000	0.514336	0.038575	0.068407	0.021756	0.001000	0.001172	727.455988	40.900162
0.738000	0.514305	0.038573	0.068403	0.021778	0.001000	0.001171	726.642982	40.853662
0.740000	0.514273	0.038571	0.068398	0.021800	0.001000	0.001169	725.830479	40.807224
0.742000	0.514242	0.038568	0.068394	0.021822	0.001000	0.001167	725.018480	40.760847
0.744000	0.514211	0.038566	0.068390	0.021844	0.001000	0.001165	724.206985	40.714532
0.746000	0.514180	0.038563	0.068386	0.021866	0.001000	0.001164	723.395993	40.668278
0.748000	0.514148	0.038561	0.068382	0.021888	0.001000	0.001162	722.585505	40.622086
0.750000	0.514117	0.038559	0.068378	0.021910	0.001000	0.001160	721.775521	40.575956
0.752000	0.514085	0.038556	0.068373	0.021932	0.001000	0.001159	720.966040	40.529887
0.754000	0.514053	0.038554	0.068369	0.021954	0.001000	0.001157	720.157062	40.483879
0.756000	0.514022	0.038552	0.068365	0.021975	0.001000	0.001155	719.348588	40.437933
0.758000	0.513990	0.038549	0.068361	0.021997	0.001000	0.001154	718.540618	40.392048
0.760000	0.513958	0.038547	0.068356	0.022019	0.001000	0.001152	717.733151	40.346224
0.762000	0.513926	0.038544	0.068352	0.022040	0.001000	0.001150	716.926187	40.300462
0.764000	0.513894	0.038542	0.068348	0.022062	0.001000	0.001148	716.119727	40.254761
0.766000	0.513862	0.038540	0.068344	0.022083	0.001000	0.001147	715.313769	40.209121
0.768000	0.513829	0.038537	0.068339	0.022105	0.001000	0.001145	714.508316	40.163542
0.770000	0.513797	0.038535	0.068335	0.022126	0.001000	0.001143	713.703365	40.118025
0.772000	0.513764	0.038532	0.068331	0.022147	0.001000	0.001142	712.898918	40.072568
0.774000	0.513732	0.038530	0.068326	0.022169	0.001000	0.001140	712.094974	40.027173
0.776000	0.513699	0.038527	0.068322	0.022190	0.001000	0.001138	711.291533	39.981839
0.778000	0.513666	0.038525	0.068318	0.022211	0.001000	0.001137	710.488595	39.936565
0.780000	0.513634	0.038523	0.068313	0.022232	0.001000	0.001135	709.686160	39.891353
0.782000	0.513601	0.038520	0.068309	0.022254	0.001000	0.001133	708.884228	39.846201
0.784000	0.513568	0.038518	0.068305	0.022275	0.001000	0.001132	708.082800	39.801111
0.786000	0.513535	0.038515	0.068300	0.022296	0.001000	0.001130	707.281874	39.756081
0.788000	0.513502	0.038513	0.068296	0.022317	0.001000	0.001128	706.481451	39.711112
0.790000	0.513468	0.038510	0.068291	0.022338	0.001000	0.001127	705.681532	39.666204
0.792000	0.513435	0.038508	0.068287	0.022359	0.001000	0.001125	704.882115	39.621356
0.794000	0.513402	0.038505	0.068282	0.022380	0.001000	0.001123	704.083201	39.576569
0.796000	0.513368	0.038503	0.068278	0.022401	0.001000	0.001122	703.284789	39.531843
0.798000	0.513335	0.038500	0.068273	0.022422	0.001000	0.001120	702.486881	39.487177
0.800000	0.513301	0.038498	0.068269	0.022442	0.001000	0.001119	701.689476	39.442572
0.802000	0.513267	0.038495	0.068265	0.022463	0.001000	0.001117	700.892573	39.398027
0.804000	0.513233	0.038492	0.068260	0.022484	0.001000	0.001115	700.096172	39.353542
0.806000	0.513199	0.038490	0.068256	0.022504	0.001000	0.001114	699.300275	39.309118
0.808000	0.513165	0.038487	0.068251	0.022525	0.001000	0.001112	698.504880	39.264754
0.810000	0.513131	0.038485	0.068246	0.022546	0.001000	0.001110	697.709988	39.220451
0.812000	0.513097	0.038482	0.068242	0.022566	0.001000	0.001109	696.915598	39.176208
0.814000	0.513063	0.038480	0.068237	0.022587	0.001000	0.001107	696.121711	39.132025
0.816000	0.513028	0.038477	0.068233	0.022607	0.001000	0.001105	695.328326	39.087902
0.818000	0.512994	0.038475	0.068228	0.022628	0.001000	0.001104	694.535444	39.043839
0.820000	0.512959	0.038472	0.068224	0.022648	0.001000	0.001102	693.743064	38.999836
0.822000	0.512925	0.038469	0.068219	0.022668	0.001000	0.001101	692.951187	38.955893
